France,3.1
Brazil,2.99
Belgium,2.84
Spain,3.03
Germany,2.95
Uruguay,2.53
Croatia,2.65
Portugal,2.68
Colombia,2.41
England,3.0
Denmark,2.45
Argentina,2.77
Peru,1.57
Switzerland,2.35
Sweden,2.05
Mexico,1.97
Iran,1.59
Poland,2.39
Serbia,2.54
Senegal,2.46
South Korea,1.52
Costa Rica,1.16
Russia,2.09
Morocco,2.22
Australia,1.71
Iceland,1.84
Nigeria,2.0
Japan,1.8
Tunisia,1.75
Panama,0.84
Saudi Arabia,1.3
Egypt,2.28
