FC Barcelona,G,1,90
FC Barcelona,D R,2,90
FC Barcelona,D C,3,90
FC Barcelona,D C,15,90
FC Barcelona,D L,18,90
FC Barcelona,M RC,4,63
FC Barcelona,M RC,22,27
FC Barcelona,M C,5,90
FC Barcelona,M LC,8,90
FC Barcelona,F RC,14,76
FC Barcelona,F RC,21,14
FC Barcelona,F C,9,90
FC Barcelona,F LC,7,63
FC Barcelona,F LC,10,27
Real Madrid,G,1,90
Real Madrid,D R,2,90
Real Madrid,D C,5,90
Real Madrid,D C,4,90
Real Madrid,D L,12,90
Real Madrid,M RC,10,90
Real Madrid,M C,18,63
Real Madrid,M C,14,27
Real Madrid,M LC,8,90
Real Madrid,F RC,17,84
Real Madrid,F RC,20,6
Real Madrid,F C,9,90
Real Madrid,F LC,28,64
Real Madrid,F LC,11,26
