Real Madrid,G,25,90
Real Madrid,D R,2,90
Real Madrid,D C,5,90
Real Madrid,D C,4,90
Real Madrid,D L,23,90
Real Madrid,M RC,10,90
Real Madrid,M C,14,75
Real Madrid,M C,22,25
Real Madrid,M LC,8,55
Real Madrid,M LC,15,35
Real Madrid,F RC,11,61
Real Madrid,F RC,20,29
Real Madrid,F C,9,90
Real Madrid,F LC,28,90
FC Barcelona,G,1,90
FC Barcelona,D R,20,90
FC Barcelona,D C,3,90
FC Barcelona,D C,15,90
FC Barcelona,D L,18,90
FC Barcelona,M RC,4,90
FC Barcelona,M C,5,90
FC Barcelona,M LC,8,71
FC Barcelona,M LC,22,19
FC Barcelona,F RC,10,90
FC Barcelona,F C,9,90
FC Barcelona,F LC,11,78
FC Barcelona,F LC,7,12
