Atletico Madrid,G,13,90
Atletico Madrid,D R,4,90
Atletico Madrid,D C,15,90
Atletico Madrid,D C,21,90
Atletico Madrid,D L,3,90
Atletico Madrid,M R,6,90
Atletico Madrid,M C,14,90
Atletico Madrid,M C,8,90
Atletico Madrid,M L,11,64
Atletico Madrid,M L,23,26
Atletico Madrid,F C,7,90
Atletico Madrid,F C,19,80
Atletico Madrid,F C,10,10
FC Barcelona,G,1,90
FC Barcelona,D R,2,90
FC Barcelona,D C,3,90
FC Barcelona,D C,23,90
FC Barcelona,D L,18,90
FC Barcelona,M R,20,45
FC Barcelona,M R,12,45
FC Barcelona,M C,5,90
FC Barcelona,M C,8,80
FC Barcelona,M C,11,10
FC Barcelona,M L,22,85
FC Barcelona,M L,14,5
FC Barcelona,F C,10,90
FC Barcelona,F C,9,90
