FC Barcelona,G,1,90
FC Barcelona,D R,2,90
FC Barcelona,D C,3,90
FC Barcelona,D C,15,90
FC Barcelona,D L,18,90
FC Barcelona,M RC,4,90
FC Barcelona,M C,5,90
FC Barcelona,M LC,8,84
FC Barcelona,M LC,22,6
FC Barcelona,F RC,12,69
FC Barcelona,F RC,2,21
FC Barcelona,F C,9,90
FC Barcelona,F LC,7,74
FC Barcelona,F LC,11,16
Real Madrid,G,25,90
Real Madrid,D R,6,90
Real Madrid,D C,5,45
Real Madrid,D C,17,45
Real Madrid,D C,4,90
Real Madrid,D L,12,82
Real Madrid,D L,7,8
Real Madrid,M RC,10,90
Real Madrid,M C,14,90
Real Madrid,M LC,8,90
Real Madrid,F RC,11,77
Real Madrid,F RC,20,23
Real Madrid,F C,9,90
Real Madrid,F LC,22,90
