Real Madrid,G,1,90
Real Madrid,D R,2,90
Real Madrid,D C,5,90
Real Madrid,D C,4,90
Real Madrid,D L,23,90
Real Madrid,M RC,10,90
Real Madrid,M C,14,75
Real Madrid,M C,15,25
Real Madrid,M LC,8,90
Real Madrid,F RC,17,68
Real Madrid,F RC,11,22
Real Madrid,F C,9,90
Real Madrid,F LC,28,81
Real Madrid,F LC,20,9
FC Barcelona,G,1,90
FC Barcelona,D R,2,90
FC Barcelona,D C,3,90
FC Barcelona,D C,15,90
FC Barcelona,D L,18,90
FC Barcelona,M R,20,90
FC Barcelona,M C,5,86
FC Barcelona,M C,8,4
FC Barcelona,M C,4,90
FC Barcelona,M L,11,75
FC Barcelona,M L,7,25
FC Barcelona,F C,10,90
FC Barcelona,F C,9,78
FC Barcelona,F C,22,12
